   5.2709385e+02  -5.9633230e+00  -4.8566538e+00   1.1742997e+00   5.8136972e+00   2.2372336e-01   1.3249962e+01   2.2446279e+01
   5.3349865e+02  -5.5823783e+00  -7.2412579e+00   1.0646152e+00   5.9885958e+00   2.7357357e-01   1.3291360e+01   1.4389406e+01
   5.3840568e+02  -5.1714859e+00  -9.9425679e+00   9.3509481e-01   6.2318056e+00   3.3824558e-01   1.3318405e+01   9.9447086e+00
   5.4242981e+02  -4.7305766e+00  -1.2887897e+01   7.9359721e-01   6.5628384e+00   4.2638250e-01   1.3329274e+01   7.2203519e+00
   5.4645394e+02  -4.1763934e+00  -1.6384377e+01   6.2824338e-01   7.0836803e+00   5.7968777e-01   1.3330065e+01   5.2288588e+00
   5.4766118e+02  -3.9867710e+00  -1.7337479e+01   5.7732084e-01   7.2875059e+00   6.4539540e-01   1.3330862e+01   4.7958006e+00
   5.4886842e+02  -3.7903381e+00  -1.8078019e+01   5.2825786e-01   7.5118372e+00   7.2515300e-01   1.3332781e+01   4.4548991e+00
   5.5007566e+02  -3.5922914e+00  -1.8528496e+01   4.8222356e-01   7.7520807e+00   8.2194509e-01   1.3333522e+01   4.2042212e+00
   5.5128290e+02  -3.3976296e+00  -1.8668441e+01   4.4022930e-01   8.0016138e+00   9.3866920e-01   1.3333184e+01   4.0336106e+00
   5.5249014e+02  -3.2109413e+00  -1.8533917e+01   4.0292168e-01   8.2527735e+00   1.0780260e+00   1.3332674e+01   3.9284968e+00
   5.5580031e+02  -2.7625225e+00  -1.7307910e+01   3.2453128e-01   8.9005506e+00   1.5887959e+00   1.3332727e+01   3.8613535e+00
   5.5911047e+02  -2.4369193e+00  -1.5724137e+01   2.7658737e-01   9.4078909e+00   2.2897267e+00   1.3333963e+01   3.9743863e+00
   5.6242063e+02  -2.2368084e+00  -1.4348922e+01   2.5042297e-01   9.7344915e+00   3.1338397e+00   1.3333844e+01   4.1693205e+00
   5.6573079e+02  -2.1416580e+00  -1.3312501e+01   2.3877626e-01   9.8936623e+00   4.0346110e+00   1.3333118e+01   4.3984957e+00
   5.6904096e+02  -2.1258495e+00  -1.2578860e+01   2.3688446e-01   9.9202901e+00   4.9043202e+00   1.3333151e+01   4.6382797e+00
   5.7308895e+02  -2.1830747e+00  -1.1985191e+01   2.4377466e-01   9.8240687e+00   5.8437095e+00   1.3333525e+01   4.9317597e+00
   5.7713694e+02  -2.2953772e+00  -1.1613660e+01   2.5782067e-01   9.6379153e+00   6.6024449e+00   1.3333463e+01   5.2184519e+00
   5.8118494e+02  -2.4397944e+00  -1.1372893e+01   2.7696112e-01   9.4034815e+00   7.1808823e+00   1.3333269e+01   5.4981994e+00
   5.8523293e+02  -2.6004220e+00  -1.1197870e+01   2.9978775e-01   9.1493767e+00   7.6024971e+00   1.3333296e+01   5.7754015e+00
   5.8928092e+02  -2.7671009e+00  -1.1041982e+01   3.2529080e-01   8.8934334e+00   7.8951275e+00   1.3333350e+01   6.0582171e+00
   5.9499204e+02  -3.0028216e+00  -1.0790378e+01   3.6470132e-01   8.5455163e+00   8.1328925e+00   1.3333336e+01   6.4907485e+00
   6.0070315e+02  -3.2328579e+00  -1.0434977e+01   4.0720254e-01   8.2225110e+00   8.2124341e+00   1.3333311e+01   7.0057363e+00
   6.0641427e+02  -3.4589162e+00  -9.9167227e+00   4.5313296e-01   7.9216763e+00   8.1700083e+00   1.3333302e+01   7.6757995e+00
   6.1212538e+02  -3.6889092e+00  -9.1742606e+00   5.0435721e-01   7.6331426e+00   8.0282162e+00   1.3333280e+01   8.6312418e+00
   6.1783650e+02  -3.9352795e+00  -8.1363567e+00   5.6451874e-01   7.3443691e+00   7.7990233e+00   1.3333222e+01   1.0135981e+01
   6.2603028e+02  -4.3477294e+00  -6.0757550e+00   6.7807216e-01   6.9095765e+00   7.3224754e+00   1.3332983e+01   1.4478563e+01
   6.3252629e+02  -4.7383579e+00  -4.2864638e+00   8.0080961e-01   6.5554106e+00   6.8242495e+00   1.3332365e+01   2.1736686e+01
   6.3752885e+02  -5.0677713e+00  -3.2032170e+00   9.1551687e-01   6.3006404e+00   6.3723356e+00   1.3331074e+01   3.0456517e+01
   6.4253141e+02  -5.3978084e+00  -2.4997577e+00   1.0396912e+00   6.0849248e+00   5.8745125e+00   1.3328212e+01   4.0781208e+01
   6.4753396e+02  -5.7094940e+00  -2.0320036e+00   1.1636177e+00   5.9159650e+00   5.3498371e+00   1.3322427e+01   5.2196915e+01
   6.5253652e+02  -5.9968448e+00  -1.5995389e+00   1.2811713e+00   5.7878449e+00   4.8190979e+00   1.3312580e+01   6.8665712e+01
   6.5366396e+02  -6.0581359e+00  -1.4900527e+00   1.3064783e+00   5.7635853e+00   4.6997325e+00   1.3310223e+01   7.4249145e+01
   6.5479139e+02  -6.1184668e+00  -1.3772649e+00   1.3313931e+00   5.7407022e+00   4.5809999e+00   1.3307729e+01   8.0901575e+01
   6.5591883e+02  -6.1779571e+00  -1.2622572e+00   1.3559497e+00   5.7190621e+00   4.4629171e+00   1.3305155e+01   8.8887329e+01
   6.5704627e+02  -6.2366674e+00  -1.1464168e+00   1.3801532e+00   5.6985664e+00   4.3455512e+00   1.3302534e+01   9.8536135e+01
